"id","x","y","t","parent_index","district"
147802,9.88957055363938,13.510066045449,1761,0,"USAQUEN"
144314,9.52914667423844,13.1479646339243,1720,0,"USAQUEN"
114956,9.81189930067292,13.0262515536512,1373,0,"USAQUEN"
86511,9.93968670682299,13.2356193793807,1033,0,"USAQUEN"
122184,9.03905137964926,13.4555646590894,1458,0,"USAQUEN"
69901,9.66100796552391,14.7783782235868,833,0,"USAQUEN"
121484,9.03301761432518,16.5307868561751,1450,0,"USAQUEN"
127496,9.01031125554455,16.3912997333053,1522,0,"USAQUEN"
163852,9.70568962400534,17.0696574029933,1954,0,"USAQUEN"
146918,9.50969313485954,17.9364280157394,1751,0,"USAQUEN"
50383,9.41641755399076,18.4069237727016,600,0,"USAQUEN"
81347,9.84893044869797,18.3659676461651,970,0,"USAQUEN"
126325,9.65495518341566,19.9278912051255,1508,0,"USAQUEN"
159442,9.0508332788116,19.0616669972217,1902,0,"USAQUEN"
134573,9.95068900970274,19.8337321337493,1605,0,"USAQUEN"
123971,9.21815845950067,20.7745805200905,1480,0,"USAQUEN"
54719,9.80102532587007,20.0562510672838,652,0,"USAQUEN"
70785,9.83584388177454,22.7938400263781,844,0,"USAQUEN"
74601,9.92231289930731,22.9032619469761,887,0,"USAQUEN"
75352,9.06137549800572,23.0216803625659,897,0,"USAQUEN"
159002,9.69583646160253,23.9482034196656,1897,0,"USAQUEN"
143065,9.48891616816723,23.0066651796904,1705,0,"USAQUEN"
140872,9.9067320285011,23.1525488338308,1680,0,"USAQUEN"
73170,9.56123484253081,24.4752216944091,871,0,"USAQUEN"
56628,9.82396584526561,24.033805511467,674,0,"USAQUEN"
145278,9.48108821059721,25.190851243853,1732,0,"USAQUEN"
116486,9.2078829530013,25.2488689579548,1391,0,"USAQUEN"
105787,9.48666573846448,26.6596307502658,1263,0,"USAQUEN"
42651,9.09083426056601,26.3691350479956,509,0,"USAQUEN"
100896,9.58169147593403,26.6347434580545,1206,0,"USAQUEN"
45226,9.42420502816515,28.7478129988927,539,0,"USAQUEN"
134831,9.2922514457619,28.1366003285554,1607,0,"USAQUEN"
61366,9.37023102786383,28.7397823340292,731,0,"USAQUEN"
82392,9.90315337594807,28.4763595579401,982,0,"USAQUEN"
